	Blank_F1_S236	Blank_F10_S245	Blank_F2_S237	Blank_F3_S238	Blank_F4_S239	Blank_F5_S240	Blank_F6_S241	Blank_F7_S242	Blank_F8_S243	Blank_F9_S244	Blank_whole_S246	CsCl_control_plateCC_S134	frac_water_control_plateCB_S96	GB_control_plateCC_S133	mock_amplicon_even_control_plateCB_S94	mock_amplicon_even_plateCC_S191	mock_amplicon_even_plateDA_S210	mock_amplicon_stag_control_plateCB_S95	mock_amplicon_stag_plateCC_S192	mock_amplicon_stag_plateDA_S211	mock782D_control_plateCB_S34	mock782D_control_plateCC_emptystock_S131	mock783D_control_plateCB_S35	mock783D_control_plateCC_emptystock_S132	neg_control_plateCB_S36	neg_control_plateCC_S130	neg_control_plateDA_S209	SIP1614_A5_S82	SIP1614_A5B5_S70	SIP1614_AB0_S76	SIP1614_AB5_F1_S1	SIP1614_AB5_F10_S10	SIP1614_AB5_F2_S2	SIP1614_AB5_F3_S3	SIP1614_AB5_F4_S4	SIP1614_AB5_F5_S5	SIP1614_AB5_F6_S6	SIP1614_AB5_F7_S7	SIP1614_AB5_F8_S8	SIP1614_AB5_F9_S9	SIP1614_AB5_whole_S11	SIP1614_B5_S83	SIP1614_C5_S84	SIP1614_C5D5_S71	SIP1614_CD0_S77	SIP1614_CD5_F1_S12	SIP1614_CD5_F10_S21	SIP1614_CD5_F2_S13	SIP1614_CD5_F3_S14	SIP1614_CD5_F4_S15	SIP1614_CD5_F5_S16	SIP1614_CD5_F6_S17	SIP1614_CD5_F7_S18	SIP1614_CD5_F8_S19	SIP1614_CD5_F9_S20	SIP1614_CD5_whole_S22	SIP1614_D5_S85	SIP1614_E5_S86	SIP1614_E5F5_S72	SIP1614_EF0_S78	SIP1614_EF5_F1_S23	SIP1614_EF5_F10_S32	SIP1614_EF5_F2_S24	SIP1614_EF5_F3_S25	SIP1614_EF5_F4_S26	SIP1614_EF5_F5_S27	SIP1614_EF5_F6_S28	SIP1614_EF5_F7_S29	SIP1614_EF5_F8_S30	SIP1614_EF5_F9_S31	SIP1614_EF5_whole_S33	SIP1614_F5_S87	SIP1614_G5_S88	SIP1614_G5H5_S73	SIP1614_GH0_S79	SIP1614_GH5_F1_S37	SIP1614_GH5_F10_S46	SIP1614_GH5_F2_S38	SIP1614_GH5_F3_S39	SIP1614_GH5_F4_S40	SIP1614_GH5_F5_S41	SIP1614_GH5_F6_S42	SIP1614_GH5_F7_S43	SIP1614_GH5_F8_S44	SIP1614_GH5_F9_S45	SIP1614_GH5_whole_S47	SIP1614_H5_S89	SIP1614_I5_S90	SIP1614_I5J5_S74	SIP1614_IJ0_S80	SIP1614_IJ5_F1_S48	SIP1614_IJ5_F10_S57	SIP1614_IJ5_F2_S49	SIP1614_IJ5_F3_S50	SIP1614_IJ5_F4_S51	SIP1614_IJ5_F5_S52	SIP1614_IJ5_F6_S53	SIP1614_IJ5_F7_S54	SIP1614_IJ5_F8_S55	SIP1614_IJ5_F9_S56	SIP1614_IJ5_whole_S58	SIP1614_J5_S91	SIP1614_K5_S92	SIP1614_K5L5_S75	SIP1614_KL0_S81	SIP1614_KL5_F1_S59	SIP1614_KL5_F10_S68	SIP1614_KL5_F2_S60	SIP1614_KL5_F3_S61	SIP1614_KL5_F4_S62	SIP1614_KL5_F5_S63	SIP1614_KL5_F6_S64	SIP1614_KL5_F7_S65	SIP1614_KL5_F8_S66	SIP1614_KL5_F9_S67	SIP1614_KL5_whole_S69	SIP1614_L5_S93	SIP1712_A6_S141	SIP1712_A6B6_S135	SIP1712_AB0_S138	SIP1712_AB6_F1_S97	SIP1712_AB6_F10_S106	SIP1712_AB6_F2_S98	SIP1712_AB6_F3_S99	SIP1712_AB6_F4_S100	SIP1712_AB6_F5_S101	SIP1712_AB6_F6_S102	SIP1712_AB6_F7_S103	SIP1712_AB6_F8_S104	SIP1712_AB6_F9_S105	SIP1712_AB6_whole_S107	SIP1712_B6_S142	SIP1712_C6_S143	SIP1712_C6D6_S136	SIP1712_CD0_S139	SIP1712_CD6_F1_S108	SIP1712_CD6_F10_S117	SIP1712_CD6_F2_S109	SIP1712_CD6_F3_S110	SIP1712_CD6_F4_S111	SIP1712_CD6_F5_S112	SIP1712_CD6_F6_S113	SIP1712_CD6_F7_S114	SIP1712_CD6_F8_S115	SIP1712_CD6_F9_S116	SIP1712_CD6_whole_S118	SIP1712_D6_S144	SIP1712_E6_S145	SIP1712_E6F6_S137	SIP1712_EF0_S140	SIP1712_EF6_F1_S119	SIP1712_EF6_F10_S128	SIP1712_EF6_F2_S120	SIP1712_EF6_F3_S121	SIP1712_EF6_F4_S122	SIP1712_EF6_F5_S123	SIP1712_EF6_F6_S124	SIP1712_EF6_F7_S125	SIP1712_EF6_F8_S126	SIP1712_EF6_F9_S127	SIP1712_EF6_whole_S129	SIP1712_F6_S146	SIP1726_AB5_F1_S147	SIP1726_AB5_F10_S156	SIP1726_AB5_F2_S148	SIP1726_AB5_F3_S149	SIP1726_AB5_F4_S150	SIP1726_AB5_F5_S151	SIP1726_AB5_F6_S152	SIP1726_AB5_F7_S153	SIP1726_AB5_F8_S154	SIP1726_AB5_F9_S155	SIP1726_AB5_whole_S157	SIP1726_CD5_F1_S158	SIP1726_CD5_F10_S167	SIP1726_CD5_F2_S159	SIP1726_CD5_F3_S160	SIP1726_CD5_F4_S161	SIP1726_CD5_F5_S162	SIP1726_CD5_F6_S163	SIP1726_CD5_F7_S164	SIP1726_CD5_F8_S165	SIP1726_CD5_F9_S166	SIP1726_CD5_whole_S168	SIP1726_EF5_F1_S169	SIP1726_EF5_F10_S178	SIP1726_EF5_F2_S170	SIP1726_EF5_F3_S171	SIP1726_EF5_F4_S172	SIP1726_EF5_F5_S173	SIP1726_EF5_F6_S174	SIP1726_EF5_F7_S175	SIP1726_EF5_F8_S176	SIP1726_EF5_F9_S177	SIP1726_EF5_whole_S179	SIP1726_GF75_A13_S228	SIP1726_GF75_A9_S212	SIP1726_GF75_B13_S229	SIP1726_GF75_B9_S213	SIP1726_GF75_C13_S230	SIP1726_GF75_C9_S214	SIP1726_GF75_D13_S231	SIP1726_GF75_D9_S215	SIP1726_GF75_E13_S232	SIP1726_GF75_E9_S216	SIP1726_GF75_F13_S233	SIP1726_GF75_F9_S217	SIP1726_GF75_G13_S234	SIP1726_GF75_G9_S218	SIP1726_GF75_H13_S235	SIP1726_GF75_H9_S219	SIP1726_GH5_F1_S180	SIP1726_GH5_F10_S189	SIP1726_GH5_F2_S181	SIP1726_GH5_F3_S182	SIP1726_GH5_F4_S183	SIP1726_GH5_F5_S184	SIP1726_GH5_F6_S185	SIP1726_GH5_F7_S186	SIP1726_GH5_F8_S187	SIP1726_GH5_F9_S188	SIP1726_GH5_whole_S190	SIP1726_Omnipore_A13_S220	SIP1726_Omnipore_A5_S201	SIP1726_Omnipore_A5B5_S193	SIP1726_Omnipore_AB0_S197	SIP1726_Omnipore_B13_S221	SIP1726_Omnipore_B5_S202	SIP1726_Omnipore_C13_S222	SIP1726_Omnipore_C5_S203	SIP1726_Omnipore_C5D5_S194	SIP1726_Omnipore_CD0_S198	SIP1726_Omnipore_D13_S223	SIP1726_Omnipore_D5_S204	SIP1726_Omnipore_E13_S224	SIP1726_Omnipore_E5_S205	SIP1726_Omnipore_E5F5_S195	SIP1726_Omnipore_EF0_S199	SIP1726_Omnipore_F13_S225	SIP1726_Omnipore_F5_S206	SIP1726_Omnipore_G13_S226	SIP1726_Omnipore_G5_S207	SIP1726_Omnipore_G5H5_S196	SIP1726_Omnipore_GH0_S200	SIP1726_Omnipore_H13_S227	SIP1726_Omnipore_H5_S208	Kingdom	Phylum	Class	Order	Family	Genus
SIP1968	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Bacteria	Proteobacteria	Gammaproteobacteria	Oceanospirillales	OM182_clade	Not_annotated
SIP1969	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Bacteria	Marinimicrobia_(SAR406_clade)	Not_annotated	Not_annotated	Not_annotated	Not_annotated
SIP1970	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	Bacteria	Chloroflexi	Not_annotated	Not_annotated	Not_annotated	Not_annotated
SIP1971	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Bacteria	Proteobacteria	Deltaproteobacteria	Sh765B-TzT-29	Not_annotated	Not_annotated
SIP1972	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11_clade	SAR11_II	Not_annotated
SIP1973	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	S25-593	Not_annotated
SIP1974	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Rhodospirillaceae	Magnetospira
SIP1975	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Not_annotated	Not_annotated
SIP1976	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Bacteria	Proteobacteria	Alphaproteobacteria	DB1-14	Not_annotated	Not_annotated
SIP1977	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Bacteria	Proteobacteria	Betaproteobacteria	Methylophilales	Methylophilaceae	OM43_clade
SIP1978	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Rhodospirillaceae	Not_annotated
SIP1979	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Bacteria	Verrucomicrobia	Arctic97B-4_marine_group	Not_annotated	Not_annotated	Not_annotated
SIP1980	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Rhodospirillaceae	AEGEAN-169_marine_group
SIP1981	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Bacteria	Verrucomicrobia	Opitutae	MB11C04_marine_group	Not_annotated	Not_annotated
SIP1982	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Bacteria	Acidobacteria	Subgroup_26	Not_annotated	Not_annotated	Not_annotated
SIP1983	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Bacteria	Proteobacteria	Betaproteobacteria	Neisseriales	Neisseriaceae	Neisseria
SIP1984	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Rhodospirillaceae	AEGEAN-169_marine_group
SIP1985	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Bacteria	Chloroflexi	SAR202_clade	SAR202_Clade2	SAR202_Clade2	SAR202_Clade2
